证券代码,证券简称,交易日期,交易所,昨日收盘,今日开盘,成交数量,最高成交,最低成交,最近成交,总笔数,涨跌幅,成交金额
"	000001",上证指数,2017-01-03,上交所,3103.637,3105.309,141567187,3136.456,3105.309,3135.921,,1.0402,159887139471.8
"	000001",上证指数,2017-01-04,上交所,3135.921,3133.787,167860850,3160.103,3130.115,3158.794,,0.7294,195914292648.1
"	000001",上证指数,2017-01-05,上交所,3158.794,3157.906,174727645,3168.502,3154.281,3165.411,,0.2095,199692026733.3
"	000001",上证指数,2017-01-06,上交所,3165.411,3163.776,183708966,3172.035,3153.025,3154.321,,-0.3503,207296038444.4
"	000001",上证指数,2017-01-09,上交所,3154.321,3148.532,171714075,3173.136,3147.735,3171.236,,0.5363,192110579317.9
"	000001",上证指数,2017-01-10,上交所,3171.236,3167.57,179759216,3174.578,3157.332,3161.671,,-0.3016,194963216580.4
"	000001",上证指数,2017-01-11,上交所,3161.671,3156.686,178362221,3167.029,3136.267,3136.754,,-0.7881,189186459361.9
"	000001",上证指数,2017-01-12,上交所,3136.754,3133.602,148889240,3144.97,3115.979,3119.289,,-0.5568,161922296471.7
"	000001",上证指数,2017-01-13,上交所,3119.289,3116.083,156274214,3130.515,3102.163,3112.764,,-0.2092,174438553998.8
"	000001",上证指数,2017-01-16,上交所,3112.764,3104.492,257885996,3105.142,3044.291,3103.428,,-0.2999,262826041800.9
"	000001",上证指数,2017-01-17,上交所,3103.428,3087.03,136157861,3108.907,3072.338,3108.775,,0.1723,154757554735.4
"	000001",上证指数,2017-01-18,上交所,3108.775,3104.766,131780128,3123.72,3098.586,3113.012,,0.1363,144546719277.7
"	000001",上证指数,2017-01-19,上交所,3113.012,3104.972,123851420,3115.778,3094.006,3101.299,,-0.3763,139280461467.4
"	000001",上证指数,2017-01-20,上交所,3101.299,3095.819,122366777,3125.66,3095.215,3123.139,,0.7042,141471811350.9
"	000001",上证指数,2017-01-23,上交所,3123.139,3125.421,132660392,3145.841,3125.421,3136.775,,0.4366,148145735877.1
"	000001",上证指数,2017-01-24,上交所,3136.775,3134.592,125973881,3149.531,3131.218,3142.553,,0.1842,134553852177.1
"	000001",上证指数,2017-01-25,上交所,3142.553,3137.646,112073827,3151.472,3133.191,3149.555,,0.2228,126765829992.2
"	000001",上证指数,2017-01-26,上交所,3149.555,3149.217,113876772,3163.104,3148.908,3159.166,,0.3052,125013193942.4
"	000001",上证指数,2017-02-03,上交所,3159.166,3160.082,92224736,3162.677,3136.013,3140.17,,-0.6013,108023659889.4
"	000001",上证指数,2017-02-06,上交所,3140.17,3143.093,127198283,3158.843,3135.387,3156.984,,0.5354,150067694720.7
"	000001",上证指数,2017-02-07,上交所,3156.984,3154.405,128337442,3159.544,3140.036,3153.088,,-0.1234,152559086118.2
"	000001",上证指数,2017-02-08,上交所,3153.088,3148.086,144920187,3167.447,3132.033,3166.982,,0.4406,170854126256.4
"	000001",上证指数,2017-02-09,上交所,3166.982,3164.688,191640327,3186.838,3162.574,3183.179,,0.5115,209723158640.6
"	000001",上证指数,2017-02-10,上交所,3183.179,3183.007,239348913,3205.049,3182.802,3196.699,,0.4247,245772163919.5
"	000001",上证指数,2017-02-13,上交所,3196.699,3198.995,220191508,3219.407,3198.995,3216.839,,0.63,236158766819.6
"	000001",上证指数,2017-02-14,上交所,3216.839,3216.137,188798088,3219.405,3205.285,3217.928,,0.0338,204253821854.1
"	000001",上证指数,2017-02-15,上交所,3217.928,3215.464,241507706,3235.998,3206.561,3212.986,,-0.1536,257965244460.5
"	000001",上证指数,2017-02-16,上交所,3212.986,3210.357,216955942,3230.275,3207.785,3229.618,,0.5177,226587611994.5
"	000001",上证指数,2017-02-17,上交所,3229.618,3227.707,226228177,3238.396,3199.425,3202.076,,-0.8528,248572751592.4
"	000001",上证指数,2017-02-20,上交所,3202.076,3198.963,232152096,3241.458,3198.963,3239.961,,1.1832,250276131814.5
"	000001",上证指数,2017-02-21,上交所,3239.961,3242.223,211673066,3254.336,3239.878,3253.326,,0.4125,233551176049.7
"	000001",上证指数,2017-02-22,上交所,3253.326,3252.69,207453776,3261.381,3243.84,3261.218,,0.2426,234815325823.8
"	000001",上证指数,2017-02-23,上交所,3261.218,3258.832,209179800,3264.082,3236.355,3251.375,,-0.3018,236822582276.1
"	000001",上证指数,2017-02-24,上交所,3251.375,3246.86,186406362,3253.956,3233.535,3253.433,,0.0633,213839036866.9
"	000001",上证指数,2017-02-27,上交所,3253.433,3249.195,182581071,3251.654,3224.088,3228.66,,-0.7614,211395715856.2
"	000001",上证指数,2017-02-28,上交所,3228.66,3225.969,151244318,3242.679,3225.969,3241.733,,0.4049,186019288810
"	000001",上证指数,2017-03-01,上交所,3241.733,3240.073,190677550,3259.978,3237.871,3246.934,,0.1604,225940967941.8
"	000001",上证指数,2017-03-02,上交所,3246.934,3250.518,181215076,3256.807,3228.665,3230.028,,-0.5207,223043958766.5
"	000001",上证指数,2017-03-03,上交所,3230.028,3219.202,157082368,3221.155,3206.613,3218.312,,-0.3627,192707923011.2
"	000001",上证指数,2017-03-06,上交所,3218.312,3217.335,156092158,3234.663,3215.067,3233.866,,0.4833,193769172395.8
"	000001",上证指数,2017-03-07,上交所,3233.866,3233.094,164064235,3242.659,3226.822,3242.406,,0.2641,209931208364.2
"	000001",上证指数,2017-03-08,上交所,3242.406,3240.532,160731388,3245.304,3230.608,3240.665,,-0.0537,198225782571.3
"	000001",上证指数,2017-03-09,上交所,3240.665,3233.701,167371108,3233.875,3205.279,3216.746,,-0.7381,199217646811.3
"	000001",上证指数,2017-03-10,上交所,3216.746,3213.729,136672743,3222.319,3208.447,3212.76,,-0.1239,173663170234.6
"	000001",上证指数,2017-03-13,上交所,3212.76,3209.449,163673760,3237.121,3193.157,3237.024,,0.7552,206919741904.3
"	000001",上证指数,2017-03-14,上交所,3237.024,3235.252,146946022,3246.329,3231.521,3239.328,,0.0712,191535126690.9
"	000001",上证指数,2017-03-15,上交所,3239.328,3235.403,144055682,3243.713,3227.738,3241.76,,0.0751,185727250363.9
"	000001",上证指数,2017-03-16,上交所,3241.76,3247.163,189416002,3269.77,3247.163,3268.935,,0.8383,244508344465.3
"	000001",上证指数,2017-03-17,上交所,3268.935,3271.867,200583223,3274.19,3232.281,3237.447,,-0.9633,262184046475.3
"	000001",上证指数,2017-03-20,上交所,3237.447,3241.11,170548430,3251.127,3228.118,3250.808,,0.4127,213951759501.6
"	000001",上证指数,2017-03-21,上交所,3250.808,3250.247,162719306,3262.221,3246.696,3261.611,,0.3323,219121269781.6
"	000001",上证指数,2017-03-22,上交所,3261.611,3246.223,189731649,3255.778,3229.128,3245.22,,-0.5025,244545459040.8
"	000001",上证指数,2017-03-23,上交所,3245.22,3245.808,193029144,3262.091,3221.934,3248.55,,0.1026,258246691000
"	000001",上证指数,2017-03-24,上交所,3248.55,3247.35,219777914,3275.207,3241.123,3269.445,,0.6432,267094164315.7
"	000001",上证指数,2017-03-27,上交所,3269.445,3268.924,201852675,3283.239,3262.118,3266.955,,-0.0762,249185540341.1
"	000001",上证指数,2017-03-28,上交所,3266.955,3265.634,161710013,3265.634,3246.086,3252.948,,-0.4288,203452481771.6
"	000001",上证指数,2017-03-29,上交所,3252.948,3252.865,216105575,3262.098,3233.28,3241.314,,-0.3576,245371852620.1
"	000001",上证指数,2017-03-30,上交所,3241.314,3235.137,247135479,3240.017,3195.852,3210.237,,-0.9588,265694871643.3
